Block,DateTime (UTC),Txn,Fee Recipient,Fee Recipient Nametag,Gas Used,Gas Used(%), % Of Gas Target,Gas Limit,Base Fee,Reward,Burnt Fees (ETH),Burnt Fees (%)
"19785877","2024-05-03 00:01:35","139","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","14,749,719","49.17%","-2%","30,000,000","4.76 Gwei","0.0106 ETH","0.070336","86.89%"
"19785876","2024-05-03 00:01:23","123","0x1f9090aae28b8a3dceadf281b0f12828e676c326","rsync-builder.eth","10,168,851","33.90%","-32%","30,000,000","4.96 Gwei","0.00808 ETH","0.050526","86.21%"
"19785875","2024-05-03 00:01:11","170","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","16,053,107","53.51%","+7%","30,000,000","4.92 Gwei","0.03284 ETH","0.079069","70.65%"
"19785874","2024-05-03 00:00:59","156","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","Titan Builder","13,788,635","45.96%","-8%","30,000,000","4.97 Gwei","0.01101 ETH","0.068608","86.16%"
"19785873","2024-05-03 00:00:47","164","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","15,645,310","52.15%","+4%","30,000,000","4.94 Gwei","0.01175 ETH","0.077430","86.82%"
"19785872","2024-05-03 00:00:35","168","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","12,376,185","41.25%","-17%","30,000,000","5.05 Gwei","0.02597 ETH","0.062620","70.68%"
"19785871","2024-05-03 00:00:23","203","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","17,180,595","57.27%","+15%","30,000,000","4.96 Gwei","0.02209 ETH","0.085377","79.44%"
"19785870","2024-05-03 00:00:11","279","0x389c8703e9c61f05fe17803eb648653fd3f2ab1c","","29,271,401","97.57%","+95%","30,000,000","4.44 Gwei","0.01896 ETH","0.130000","87.27%"
"19785869","2024-05-02 23:59:59","144","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","8,395,677","27.99%","-44%","30,000,000","4.69 Gwei","0.01061 ETH","0.039459","78.80%"
"19785868","2024-05-02 23:59:47","233","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","26,368,697","87.90%","+76%","30,000,000","4.29 Gwei","0.01552 ETH","0.113204","87.94%"
"19785867","2024-05-02 23:59:35","33","0x388c818ca8b9251b393131c08a736a67ccb19297","Lido: Execution Layer Rewards Vault","1,133,002","3.78%","-92%","30,000,000","4.85 Gwei","0.00204 ETH","0.005500","72.86%"
"19785866","2024-05-02 23:59:23","186","0x1f9090aae28b8a3dceadf281b0f12828e676c326","rsync-builder.eth","22,421,831","74.74%","+49%","30,000,000","4.57 Gwei","0.00651 ETH","0.102498","94.02%"
"19785865","2024-05-02 23:59:11","136","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","11,519,698","38.40%","-23%","30,000,000","4.7 Gwei","0.02238 ETH","0.054233","70.79%"
"19785864","2024-05-02 23:58:59","140","0x1f9090aae28b8a3dceadf281b0f12828e676c326","rsync-builder.eth","13,678,749","45.60%","-9%","30,000,000","4.76 Gwei","0.06487 ETH","0.065115","50.09%"
"19785863","2024-05-02 23:58:47","106","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","beaverbuild","9,765,555","32.55%","-35%","30,000,000","4.97 Gwei","0.03743 ETH","0.048607","56.49%"
